Location ID,coordinates,Location Name,location_code,Soil Type,soil_type_code,annual_rainfall_mm,groundwater_depth_m,population_density,distance_to_river_km,elevation_m,historical _success_rate_%,suitability,approx_project_cost,rocky_terrain,adjusted_project_cost
1,"10.0988, -0.2643",Bolgatanga,1,Clay,1,722,16.65693648,334,6.351052561,187,85,1,7404.54,0,7404.54
2,"10.0374, -0.2589",Bolgatanga,1,Sandy,4,992,14.05992548,236,14.56708537,193,87,1,5200.02,1,6603.25
3,"9.6266, -0.9927",Savelugu,6,Clay,1,891,22.41640805,271,6.37756152,209,59,0,5931.63,1,7710.04
4,"10.3164, -0.7794",Bongo,2,Sandy,4,735,21.65083735,390,8.314992059,183,77,1,15006.79,1,20521.48
5,"10.3294, -0.7227",Bongo,2,Clay,1,907,14.18124071,452,14.51293501,208,47,0,13827.47,0,13827.47
6,"9.6753, -0.9235",Savelugu,6,Clay,1,654,22.22355214,492,13.50999867,174,75,1,7980.28,0,7980.28
7,"10.1351, -1.3225",Jirapa,4,Clay,1,782,14.1390355,448,12.31094967,175,93,1,9105.6,1,11175.13
8,"9.4061, -0.8813",Tamale,7,Clay,1,799,11.754789,413,7.474918755,156,49,0,10375.45,0,10375.45
9,"9.1824, -0.9648",Tolon,8,Clay,1,909,22.23362829,282,6.947080124,200,94,0,17810.84,0,17810.84
10,"9.0862, -1.0021",Tolon,8,Clay,1,1057,23.21747907,295,7.64420692,152,70,0,13621.58,0,13621.58
11,"9.7580, -0.3290",Yendi,10,Clay,1,951,24.96506818,497,13.61475195,172,50,1,19585.64,0,19585.64
12,"9.4922, -0.8437",Tamale,7,Loamy,3,854,10.87770738,297,10.51160156,184,59,1,8522.03,1,11466.94
13,"10.1183, -0.2579",Bolgatanga,1,Clay,1,821,22.32171693,480,14.43732453,155,48,1,12598.48,0,12598.48
14,"9.2444, -1.0135",Tolon,8,Loamy,3,1195,20.49967584,233,4.5801596,206,64,1,10991.51,0,10991.51
15,"10.1278, -1.2466",Jirapa,4,Loamy,3,896,13.08203824,498,7.558746183,181,79,0,8843.41,1,12118.34
16,"9.8369, -0.2829",Yendi,10,Sandy,4,1024,17.83566247,403,7.939857716,201,56,0,14904.68,1,20037.4
17,"10.7357, -0.8185",Navrongo,5,Clay,1,989,12.51392716,388,7.758869868,192,83,1,9542.94,0,9542.94
18,"10.8360, -0.8680",Navrongo,5,Clay,1,762,24.05776491,413,7.622483254,199,50,1,15258.71,0,15258.71
19,"9.7629, -0.3013",Yendi,10,Loamy,3,700,16.17340509,182,3.695550514,175,91,1,11285.48,1,14340.19
20,"9.9775, -0.2916",Bolgatanga,1,Loamy,3,784,21.17505432,256,9.587290383,206,83,0,12303.98,0,12303.98
21,"9.3834, -0.8311",Tamale,7,Loamy,3,1173,12.9913361,407,4.827671955,187,90,0,8444.53,1,10342.11
22,"9.1189, -1.0171",Tolon,8,Loamy,3,972,24.75705768,479,9.337420339,170,61,1,7228.4,1,10078.84
23,"9.1800, -1.1035",Tolon,8,Sandy,4,692,21.61241086,275,11.38795998,172,71,0,18000.01,1,21702.01
24,"10.0493, -0.3134",Bolgatanga,1,Sandy,4,790,20.00047256,496,12.55537592,160,50,0,13291.61,0,13291.61
25,"10.0751, -1.2277",Jirapa,4,Loamy,3,618,19.69392341,378,10.60752143,151,46,0,6511.4,1,8731.71
26,"10.7019, -0.8829",Navrongo,5,Sandy,4,1047,22.89362412,390,14.42300172,181,46,0,18615.84,0,18615.84
27,"9.9215, -0.3194",Yendi,10,Lateritic,2,1068,11.19744358,335,9.030072807,203,85,1,12384.09,1,18512.6
28,"9.3372, -0.8816",Tamale,7,Lateritic,2,1152,16.05773821,311,5.785353127,165,53,1,16288.8,1,23015.41
29,"9.1656, -1.0976",Tolon,8,Loamy,3,693,14.37166297,157,4.716515257,173,48,0,17757.96,1,25466.41
30,"10.0983, -0.3402",Bolgatanga,1,Loamy,3,974,24.85039084,425,5.886163135,171,59,1,9473.47,0,9473.47
31,"9.6335, -0.9076",Savelugu,6,Lateritic,2,1197,11.71208572,235,9.891751564,184,70,0,19498.28,0,19498.28
32,"9.1194, -0.9576",Tolon,8,Lateritic,2,1014,12.1157846,296,10.96541205,184,65,0,5910.83,1,7520.94
33,"9.4539, -0.9234",Tamale,7,Lateritic,2,736,18.7111428,294,9.800599951,193,45,1,16116.42,1,23871.5
34,"9.4352, -0.9413",Tamale,7,Lateritic,2,707,22.47342245,161,6.385064345,186,88,1,16533.55,0,16533.55
35,"9.9219, -0.2597",Yendi,10,Loamy,3,1011,10.54752093,469,10.86504497,198,73,1,17203.61,0,17203.61
36,"9.7051, -1.1687",Damongo,3,Loamy,3,1021,18.77019274,153,6.705014168,195,88,0,5369.88,1,6499.94
37,"9.8576, -0.3848",Yendi,10,Clay,1,615,18.10451886,222,11.6978698,162,88,1,19969.22,1,29084.06
38,"10.2834, -1.0001",Wa,9,Lateritic,2,1130,14.20070739,246,13.20571059,182,89,1,11594.76,0,11594.76
39,"9.4163, -0.8322",Tamale,7,Sandy,4,732,16.61077522,387,10.09519571,176,72,1,15757.86,0,15757.86
40,"10.3345, -0.9860",Wa,9,Sandy,4,645,18.10416434,243,6.32454903,163,70,1,13421.78,1,19704
41,"9.2322, -0.9964",Tolon,8,Loamy,3,980,10.857737,409,7.454252969,160,48,0,15239.54,1,22460.17
42,"9.4438, -0.8941",Tamale,7,Sandy,4,989,11.55523038,280,8.192955824,197,40,1,17034.36,1,23073.82
43,"9.2540, -1.1066",Tolon,8,Sandy,4,605,17.82413518,304,12.6209132,173,52,0,10164.42,1,14259.92
44,"10.2589, -1.0072",Wa,9,Sandy,4,933,21.35295167,418,8.767216394,151,91,0,12106.51,1,15869.71
45,"9.8909, -0.3330",Yendi,10,Lateritic,2,1110,24.61607005,268,8.195484434,196,70,0,10100.95,1,15124.83
46,"9.1796, -1.1153",Tolon,8,Sandy,4,918,14.1468858,402,6.40245023,189,91,0,18736.69,1,27271.83
47,"9.5241, -1.0470",Savelugu,6,Lateritic,2,993,13.6097072,266,10.53109179,200,61,1,17129.01,0,17129.01
48,"9.5880, -1.0759",Damongo,3,Lateritic,2,1198,15.22201497,424,14.74856704,157,86,1,10753.29,0,10753.29
49,"10.0412, -1.3501",Jirapa,4,Clay,1,962,20.72935654,256,7.65595801,188,92,0,7031.01,0,7031.01
50,"9.5126, -1.0182",Savelugu,6,Loamy,3,628,19.41811307,390,7.468916259,183,41,0,11305.77,1,14463.85
51,"10.1342, -1.2680",Jirapa,4,Loamy,3,1109,15.60122537,379,8.607103184,186,51,1,19356.03,1,28402.69
52,"9.5647, -0.8815",Savelugu,6,Sandy,4,857,17.5123021,362,8.44582578,172,94,1,10125.01,0,10125.01
53,"10.3866, -1.0990",Wa,9,Sandy,4,701,17.93736395,258,7.294852114,198,45,1,11120.86,0,11120.86
54,"10.0634, -1.3074",Jirapa,4,Clay,1,1160,21.2821732,457,8.110069559,206,48,1,7311.23,0,7311.23
55,"10.2662, -0.8071",Bongo,2,Lateritic,2,947,19.07407915,468,7.203952955,186,75,1,16580.62,0,16580.62
56,"9.7970, -0.3493",Yendi,10,Clay,1,645,17.93096108,354,6.265086483,200,42,0,9769.21,0,9769.21
57,"9.1838, -1.0560",Tolon,8,Clay,1,634,16.65545697,456,9.222533342,178,41,1,7976.3,1,11614.15
58,"9.8416, -0.2022",Yendi,10,Loamy,3,1172,22.24953798,216,4.841936077,180,86,0,17896.72,1,26692.38
59,"10.1449, -0.2673",Bolgatanga,1,Clay,1,738,17.73711995,270,8.00202338,192,77,1,17289.76,0,17289.76
60,"9.5281, -1.0115",Savelugu,6,Loamy,3,605,23.66077894,275,3.630289479,174,71,0,17337.85,0,17337.85
61,"9.2692, -1.0627",Tolon,8,Clay,1,691,15.76180686,277,4.862303449,174,52,1,10563.57,0,10563.57
62,"10.3216, -0.9842",Wa,9,Lateritic,2,1155,21.15135917,491,7.714219983,205,87,0,11485.71,1,15861.99
63,"10.2371, -0.9615",Wa,9,Clay,1,802,15.45129075,170,6.470133935,206,70,0,11259.32,0,11259.32
64,"9.4397, -0.7868",Tamale,7,Loamy,3,651,11.03288347,498,3.034105346,182,73,0,9525.18,1,13396.7
65,"10.3376, -0.7432",Bongo,2,Loamy,3,761,18.15776011,425,6.009496674,210,73,0,6177.62,0,6177.62
66,"9.7863, -0.3114",Yendi,10,Loamy,3,648,16.19668978,344,7.149023895,190,54,0,5966.35,1,7849.1
67,"9.9780, -0.1810",Bolgatanga,1,Clay,1,1032,22.49622015,246,11.82534118,166,43,0,9569.8,1,12929.34
68,"10.7557, -0.9186",Navrongo,5,Sandy,4,1063,21.491595,319,7.358793799,186,46,1,11138.27,0,11138.27
69,"9.5406, -0.9562",Savelugu,6,Clay,1,683,19.64363311,441,6.787766415,210,65,0,9490.59,1,12780.51
70,"9.5302, -0.8813",Savelugu,6,Clay,1,1150,20.88412097,257,13.09312619,182,91,1,5873.38,0,5873.38
71,"9.6653, -1.0213",Savelugu,6,Clay,1,910,20.78633952,443,12.48751247,155,40,1,6717.5,1,8772.58
72,"9.3807, -0.7621",Tamale,7,Lateritic,2,988,23.66897189,479,5.889198668,197,90,1,9383.91,0,9383.91
73,"9.9849, -1.3465",Jirapa,4,Clay,1,991,15.2798397,294,5.794409864,171,45,1,17026.04,1,24775.69
74,"10.2698, -0.7788",Bongo,2,Loamy,3,760,13.50045763,451,9.244066239,170,74,0,7150.71,1,10531.52
75,"9.8830, -0.2695",Yendi,10,Sandy,4,1126,16.23300895,271,9.955304384,191,50,0,11102.37,1,16228.15
76,"9.1535, -1.0699",Tolon,8,Loamy,3,1111,19.98450646,278,9.435690367,185,87,0,18888.95,0,18888.95
77,"10.2917, -0.6825",Bongo,2,Lateritic,2,1006,17.863385,448,9.443831827,170,65,1,17817.58,0,17817.58
78,"10.0680, -0.1929",Bolgatanga,1,Sandy,4,779,12.6953438,159,9.07784418,181,77,0,19253.63,1,28535.52
79,"9.6049, -1.1320",Damongo,3,Lateritic,2,739,19.54083521,247,9.226058263,187,89,0,5092.53,0,5092.53
80,"9.5611, -1.1316",Damongo,3,Clay,1,624,10.03718681,330,14.77029225,197,67,1,13148.97,1,19696.83
81,"9.8779, -0.3821",Yendi,10,Sandy,4,1036,13.76223044,415,7.767251181,188,47,0,8502.06,1,10524.99
82,"9.6435, -1.2491",Damongo,3,Sandy,4,645,23.52771368,191,4.088944578,195,47,1,8333.98,0,8333.98
83,"9.9670, -0.2562",Bolgatanga,1,Clay,1,993,17.73325997,416,11.82227221,179,91,1,12544.75,0,12544.75
84,"9.6677, -1.2574",Damongo,3,Clay,1,1081,12.47415449,405,8.256014999,210,81,1,9796.52,1,12248.53
85,"10.0527, -1.2357",Jirapa,4,Loamy,3,1091,17.98325635,484,6.614039628,190,48,1,17060.53,0,17060.53
86,"10.2243, -1.1024",Wa,9,Loamy,3,743,11.67712839,371,14.99956034,188,78,1,10690.12,0,10690.12
87,"10.3248, -0.7968",Bongo,2,Lateritic,2,678,17.96387968,411,10.56691101,185,40,1,17134.42,0,17134.42
88,"10.7292, -0.9466",Navrongo,5,Lateritic,2,866,21.58980175,393,10.43001227,155,52,0,16843.24,1,21074.74
89,"9.2101, -0.9968",Tolon,8,Clay,1,809,11.20414774,456,6.827344912,165,52,1,8732.15,1,11191.04
90,"10.8423, -0.8612",Navrongo,5,Lateritic,2,747,10.17649337,160,13.21767866,183,52,1,16477.8,0,16477.8
91,"10.3552, -0.9579",Wa,9,Lateritic,2,1095,24.50815054,396,14.65601743,195,87,0,18585.36,1,26150.26
92,"10.2720, -0.9629",Wa,9,Sandy,4,1183,20.3559154,251,5.682133604,205,86,1,12626.35,0,12626.35
93,"9.5121, -0.9457",Savelugu,6,Clay,1,858,16.82721846,462,6.216326572,172,61,1,18491.4,1,24617.72
94,"10.3057, -1.1203",Wa,9,Sandy,4,805,13.99061689,320,14.20854125,189,51,1,12747.71,1,17831.6
95,"10.3619, -1.1037",Wa,9,Clay,1,676,20.03644601,386,9.227259275,173,93,1,16189.3,0,16189.3
96,"9.1952, -1.0367",Tolon,8,Clay,1,1169,21.85206403,372,5.619306327,154,40,0,9207.68,0,9207.68
97,"10.2901, -0.7401",Bongo,2,Loamy,3,1170,17.343534,179,9.714715488,210,51,0,13177.22,1,18093.42
98,"9.5685, -0.9503",Savelugu,6,Sandy,4,730,13.07750174,406,3.72290902,210,91,1,9136.68,0,9136.68
99,"9.4750, -0.7897",Tamale,7,Lateritic,2,1088,10.53858571,313,7.137593296,195,64,0,9934.05,0,9934.05
100,"10.3679, -0.6519",Bongo,2,Clay,1,1120,20.8434035,449,11.18585172,153,45,1,15347.29,0,15347.29
101,"10.0172, -1.3605",Jirapa,4,Clay,1,623,18.1234865,193,12.27618981,152,49,0,12646.85,0,12646.85
102,"9.3825, -0.9276",Tamale,7,Sandy,4,866,24.32219549,375,10.43464675,156,90,1,10748.63,0,10748.63
103,"10.3029, -1.0336",Wa,9,Lateritic,2,631,21.40906605,236,6.238398639,153,88,0,7169.44,0,7169.44
104,"9.8857, -0.3658",Yendi,10,Sandy,4,852,11.61588759,424,12.9749731,161,79,1,6772.92,0,6772.92
105,"9.3163, -0.8500",Tamale,7,Lateritic,2,1043,11.13125421,226,11.6126449,165,65,0,13443.82,0,13443.82
106,"9.5945, -1.1020",Damongo,3,Loamy,3,645,17.51084633,398,9.35154811,196,91,1,13542.2,0,13542.2
107,"10.1652, -1.3654",Jirapa,4,Clay,1,933,12.59639794,187,6.569815076,185,77,1,8913.5,1,13098.33
